bias,cutoff,algorithm,tp,tn,fp,fn,precision,recall,fscore
0.8,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.8,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.8,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.8,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.8,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.8,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
0.8,0.7000000000000001,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.8,0.8,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.8,0.9,jaccard,208,656,0,16,1.0,0.9285714285714286,0.962962962962963
0.8,1.0,jaccard,202,662,0,22,1.0,0.9017857142857143,0.948356807511737
0.9,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.9,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
0.9,0.7000000000000001,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.9,0.8,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.9,0.9,jaccard,208,656,0,16,1.0,0.9285714285714286,0.962962962962963
0.9,1.0,jaccard,206,658,0,18,1.0,0.9196428571428571,0.9581395348837208
1.0,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
1.0,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
1.0,0.7000000000000001,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
1.0,0.8,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
1.0,0.9,jaccard,208,656,0,16,1.0,0.9285714285714286,0.962962962962963
1.0,1.0,jaccard,206,658,0,18,1.0,0.9196428571428571,0.9581395348837208
